movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3,poster_url,link_url,user_rating
실미도,135,20031224,한국,강우석,(주)시네마서비스,15세관람가,전쟁,,,설경구,안성기,허준호,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4501-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34501,8.55
반지의 제왕 : 왕의 귀환,262,20031217,미국,피터 잭슨,씨제이엔터테인먼트,12세관람가,판타지,어드벤처,,비고 모텐슨,일라이저 우드,리브 타일러,https://ssl.pstatic.net/imgmovie/mdi/mit110/0317/31796_P74_101438.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31796,9.36
동해물과 백두산이,104,20031231,한국,안진우,(주)영화사샘,15세관람가,코미디,,,정준호,공형진,류현경,https://ssl.pstatic.net/imgmovie/mdi/mit110/0372/C7246-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37246,6.48
러브 액츄얼리,130,20031205,미국,리차드 커티스,(주)제이앤씨미디어그룹,15세관람가,멜로/로맨스,드라마,코미디,휴 그랜트,콜린 퍼스,알란 릭맨,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113221,0.00
더 캣,85,20031231,미국,보 웰치,씨제이엔터테인먼트,전체관람가,판타지,어드벤처,,마이크 마이어스,알렉 볼드윈,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1850/185076_P01_142616.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185076,0.00
올드보이,120,20031121,한국,박찬욱,(주)에그필름,18세관람가,스릴러,,,최민식,유지태,강혜정,https://ssl.pstatic.net/imgmovie/mdi/mit110/1686/168668_P11_144058.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168668,9.26
해피 에로 크리스마스,110,20031217,한국,이건동,(주)튜브엔터테인먼트,15세관람가,드라마,,,김선아,차태현,박영규,https://ssl.pstatic.net/imgmovie/mdi/mit110/0372/C7266-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37266,3.05
어린 신부,114,20040402,한국,김호준,(주)컬처캡미디어,12세관람가,코미디,,,김래원,김보경,안선영,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182274_P01_172711.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182274,0.00
패션 오브 크라이스트,126,20040402,미국,멜 깁슨,아이콘프로덕션,15세관람가,드라마,,,제임스 카비젤,모니카 벨루치,마이아 모겐스턴,https://ssl.pstatic.net/imgmovie/mdi/mit110/0381/38197_P11_134959.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38197,8.60
맹부삼천지교,117,20040326,한국,김지영,코리아 엔터테인먼트,15세관람가,코미디,,,손창민,조재현,소이현,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7738-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37738,5.28
태극기 휘날리며,148,20040205,한국,강제규,강제규필름,15세관람가,전쟁,드라마,,장동건,원빈,이은주,https://ssl.pstatic.net/imgmovie/mdi/mit110/0366/C6666-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36666,9.17
마지막 늑대,97,20040401,한국,구자홍,제네시스픽쳐스(주),15세관람가,코미디,,,황정민,양동근,김경란,https://ssl.pstatic.net/imgmovie/mdi/mit110/0374/C7408-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37408,5.43
아홉살 인생,105,20040326,한국,윤인호,(주)황기성 사단,전체관람가,드라마,,,김석,최성,이세영,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7759-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37759,9.09
폴리와 함께,89,20040402,미국,존 햄버그,UIP코리아,15세관람가,멜로/로맨스,,,제니퍼 애니스턴,벤 스틸러,필립 세이모어 호프만,https://ssl.pstatic.net/imgmovie/mdi/mit110/0380/C8081-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38081,7.76
고티카,95,20040402,미국,마티유 카소비츠,다크 캐슬 엔터테인먼트,15세관람가,공포(호러),,,할리 베리,로버트 다우니 주니어,페넬로페 크루즈,https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/C7839-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37839,6.86
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,108,20040312,한국,강석범,㈜제니스엔터테인먼트,12세관람가,코미디,,,김주혁,엄정화,김가연,https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7716-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37716,8.02
허니,94,20040326,미국,빌 우드러프,유니버셜 픽쳐스,15세관람가,드라마,,,릴 로메오,제시카 알바,메키 파이퍼,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182033_P01_133448.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182033,0.00
스파이더맨 2,126,20040630,미국,샘 레이미,콜럼비아트라이스타,12세관람가,SF,,,토비 맥과이어,커스틴 던스트,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P03_110541.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,9.31
슈렉2,92,20040618,미국,캘리 애스버리,드림웍스픽쳐스,전체관람가,애니메이션,,,마이크 마이어스,카메론 디아즈,에디 머피,https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4519-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34519,8.53
인어 공주,110,20040630,한국,박흥식,나우필름(주),전체관람가,드라마,,,전도연,박해일,고두심,https://ssl.pstatic.net/imgmovie/mdi/mit110/1681/168134_P01_163244.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168134,7.50
아는 여자,107,20040625,한국,장진,필름있수다,15세관람가,드라마,,,이나영,정재영,이민정,https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/C7888-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37888,9.13
투모로우,123,20040603,미국,롤랜드 에머리히,센트로폴리스 엔터테인먼트,12세관람가,SF,,,데니스 퀘이드,제이크 질렌할,이안 홈,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182054_P03_183955.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182054,0.00
령,98,20040617,한국,김태경,㈜팝콘필름,12세관람가,공포(호러),,,김하늘,신이,류진,https://ssl.pstatic.net/imgmovie/mdi/mit110/1294/129405_P36_163514.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129405,5.15
나두야 간다,105,20040625,한국,정연원,화이트리시네마,15세관람가,코미디,,,권용운,안관수,손창민,https://ssl.pstatic.net/imgmovie/mdi/mit110/1445/144530_P01_154626.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144530,10.00
트로이,136,20040521,미국,볼프강 페터젠,플랜 비 엔터테인먼트,15세관람가,사극,,,다이앤 크루거,올랜도 블룸,에릭 바나,https://ssl.pstatic.net/imgmovie/mdi/mit110/1810/181031_P01_150303.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181031,3.56
